copy_r3_r4 156
copy_r3_r1 153
copy_r0_r2 130
copy_r4_r2 162
jump 196
out_r1 142
and 67
copy_r1_r2 138
add 68
copy_r4_r1 161
out_r3 158
jump_not_0 197
read_to_r2 178
read_to_r1 177
out 134
out_r4 166
copy_r0_r1 129
sub 69
out_r5 174
copy_r3_r5 157
jump_at_0 193
copy_r0_r5 133
copy_r5_r1 169
copy_r4_r5 165
or 64
read_to_r4 180
read_to_r5 181
copy_r5_r2 170
copy_r3_r0 152
nand 65
